source,query,title,authors,year,abstract,download_url,doi,catalysts,yield_percent,selectivity,temperature_c,stability_hours,andrussow_score
CORE,Andrussow process catalyst hydrogen cyanide,Study of the influence of technological parameters on the output of hydrogen cyanide,"Авина, Светлана Ивановна; Гринь, Григорий Иванович",2019.0,,https://core.ac.uk/download/200973646.pdf,10.20998/2413-4295.2019.05.14,[],,,,,20
CORE,Andrussow process catalyst hydrogen cyanide,Research of the influence of the composition of the initial gas mixture on the formation of hydrogen cyanide,"Авіна, Світлана Іванівна; Гринь, Григорій Іванович; Школьнікова, Тетяна Василівна",2018.0,,https://core.ac.uk/download/185576521.pdf,10.20998/2079-0821.2018.39.05,[],,,,,20
CORE,Andrussow process catalyst hydrogen cyanide,Changes in Pt-Rh catalysts in the working environment,Dimitrijević Stevan; Dmitrijević Silvana; Ivanović Aleksandra; Trumić Biserka,2015.0,,https://core.ac.uk/download/614663168.pdf,10.5937/mmeb1504105t,"['pt', 'ir', 'pt-rh', 'rh']",,,,,20
CORE,HCN synthesis platinum rhodium gauze,Quantitative Chemical Mapping of Pt/Rh Gauze Catalysts for Ammonia Oxidation using Resonant X-ray Tomography,"Das, Srashtasrita; Horn, Raimund; Jakobtorweihen, Sven; Pottbacker, Jan; Schroer, Christian G.; Sheppard, Thomas L.; Stuckelberger, Michael E.",2024.0,,https://core.ac.uk/download/604491764.pdf,10.5445/ir/1000169605,"['pt', 'gauze', 'rh']",,,,,20
CORE,methane ammonia oxidation HCN catalyst,Influence of air-staging on the concentration profiles of NH3 and HCN in the combustion chamber of a CFB boiler burning coal,"Karlsson, M.; Kassman, H.; Åmand, Lars-Erik",1999.0,,https://core.ac.uk/download/pdf/70560009.pdf,,['ir'],,,,,20
CORE,methane ammonia oxidation HCN catalyst,On the abundance of non-cometary HCN on Jupiter,"Achterberg; Allen; Allen; Atkinson; Atkinson; Atkinson; Atreya; Aubrey Sperier; Bar-Nun; Bar-Nun; Barshay; Baulch; Baulch; Baulch; Bjoraker; Bosco; Bossard; Burcat; Burgdorf; Bétrémieux; Bétrémieux; Bézard; Bézard; Bézard; Cadle; Carlson; Channon Visscher; Chase; Cheng; Cravens; Curtis; Dagaut; Davidson; Davis; De La Haye; de Pater; de Pater; Demissy; Desch; Drossart; Dunn; Edgington; Edgington; Fagerström; Fegley Jr.; Fegley, Jr.; Fegley, Jr.; Ferris; Ferris; Ferris; Ferris; Ferris; Ferris; Flasar; Fletcher; Folkner; Fouchet; Gardner; Gardner; Gehring; Gibson; Gladstone; Granik; Greathouse; Greenspan; Griffith; Griffith; Griffith; Groth; Groth; Hack; Hennig; Horne; Hunten; Hwang; Imanaka; Irwin; Jodkowski; Julianne I. Moses; Kaye; Kaye; Kaye; Kaye; Keane; Kuhn; Kunde; Lammertsma; Landry; Lara; Lebonnois; Lee; Lellouch; Lellouch; Lellouch; Lellouch; Lellouch; Lesclaux; Lewis; Lewis; Lewis; Lewis; Lewis; Liang; Liang; Lindal; Lippincott; Little; Lodders; Lovas; Marten; Matthews; Matthews; McNesby; Michael; Miller; Miller; Monks; Moreno; Moreno; Moses; Moses; Moses; Moskaleva; Nesbitt; Niemann; Nishi; Nixon; Orton; Podolak; Prinn; Prinn; Prinn; Raulin; Romani; Scala; Seiff; Simon-Miller; Smith; Sromovsky; Sromovsky; Stribling; Strobel; Strobel; Sudarsky; Thomas C. Keane; Tokunaga; Toupance; Vaghjiani; Vervack, Jr.; Visscher; Visscher; von Zahn; Vuitton; Vuitton; Vuitton; Waite, Jr.; Waite, Jr.; Waschewsky; Weisstein; West; Wildt; Williams; Woeller; Wong; Wong; Wong; Wong; Yelle; Yelle; Yung",2010.0,,http://arxiv.org/abs/1006.3508,10.1039/c003954c,[],,,,,20
CORE,ammoxidation methane ammonia oxygen catalyst,The catalytic ammoxidation of olefins,"Onsan, Zeynep Ilsen; Onsan, Zeynep Ilsen",1972.0,,https://core.ac.uk/download/76997686.pdf,,[],,,,,20
CORE,ammoxidation methane ammonia oxygen catalyst,Mechanism of Selective Ammoxidation of Propene to Acrylonitrile on Bismuth Molybdates from Quantum Mechanical Calculations,"Goddard, William A. III; Oxgaard, Jonas; Pudar, Sanja",2010.0,,https://core.ac.uk/download/4886283.pdf,10.1021/jp103054x,[],,,,,20
CORE,industrial HCN catalyst gauze,Carbon-nitrogen coupling on Pt(111) and its relevance to the catalytic synthesis of HCN,"Herceg, Eldad; Trenary, Michael",2011.0,,https://core.ac.uk/download/664616078.pdf,,['pt'],,,,,20
CORE,Andrussow process catalyst hydrogen cyanide,Development of Analytical Methods for Toxic Inhaled Hazards (TIH) and Their Metabolites,"Gyamfi, Obed Adu",2020.0,,https://core.ac.uk/download/345017186.pdf,,['ir'],,,,,0
CORE,Andrussow process catalyst hydrogen cyanide,Sodium and Specialty Cyanides Production Facility,"Baylis, Nicholas A; Desai, Parth N; Kuhns, Kyle J",2018.0,,https://core.ac.uk/download/219378328.pdf,,[],,,,,0
CORE,Andrussow process catalyst hydrogen cyanide,"Best Available Techniques (BAT) Reference Document for the Production of Large Volume Organic Chemicals. 
Industrial Emissions Directive 2010/75/EU (Integrated Pollution Prevention and Control)",BRINKMANN THOMAS; CLENAHAN IAIN; DELGADO SANCHO LUIS; FALCKE HEINO; HOLBROOK SIMON; LOPEZ CARRETERO ALFREDO; ROTH JOZE; ROUDIER SERGE; SANALAN AHMET; ZERGER BENOÎT,2017.0,,https://core.ac.uk/download/146996572.pdf,10.2760/77304,['ir'],,,,,0
CORE,Andrussow process catalyst hydrogen cyanide,Combination of chemo- and biocatalysis: Conversion of biomethane to methanol and formic acid,"Kunkel, Benny; Peppel, Tim; Seeburg, Dominik; Stier, Matthias; Wohlrab, Sebastian",2019.0,,https://core.ac.uk/download/551596569.pdf,10.34657/9560,[],,,,,0
CORE,Andrussow process catalyst hydrogen cyanide,Elementary reactions in the catalytic reduction of NO on rhodium surfaces,"van Hardeveld, R.M.",1997.0,,https://core.ac.uk/download/576948263.pdf,10.6100/ir497380,"['rhodium', 'rh']",,,,,0
CORE,HCN synthesis platinum rhodium gauze,The activation and deactivation of platinum/rhodium catalysts for ammonia oxidation,"Busby, James Anthony; Busby, James Anthony",1976.0,,https://core.ac.uk/download/77000664.pdf,,"['platinum', 'rhodium', 'rh']",,,,,0
