source,title,authors,year,citations,abstract,catalysts,yield,cycles,recovery,score
arXiv,High-Throughput Screening of Transition Metal Single-Atom Catalysts for Nitrogen Reduction Reaction,"Tingting Bo, Shiqian Cao, Nan Mu, Ruixin Xu, Yanyu Liu, Wei Zhou",2022,0,"The discovery of metals as catalytic centers for nitrogen reduction reactions has stimulated great enthusiasm for single-atom catalysts. However, the poor activity and low selectivity of available SACs are far away from the industrial requirement. Through the high throughout first principles calculations, the doping engineering can effectively regulate the NRR performance of b-Sb monolayer. Especially, the origin of activated N2 is revealed from the perspective of the electronic structure of the active center. Among the 24 transition metal dopants, Re@Sb and Tc@Sb showed the best NRR catalytic performance with a low limiting potential. The Re@Sb and Tc@Sb also could significantly inhibit HER and achieve a high theoretical Faradaic efficiency of 100%. Our findings not only accelerate discovery of catalysts for ammonia synthesis but also contribute to further elucidate the structure-performance correlations.","['ru', 'fe', 'mo', 'co', 'ni', 'cu', 'ir']",100.0,,,200.0
arXiv,High efficient sunlight-driven CO2 hydrogenation to methanol over NiZn intermetallic catalysts under atmospheric pressure,"Linjia Han, Fanqi Meng, Xianhua Bai, Qixuan Wu, Yanhong Luo, Jiangjian Shi, Yaguang Li, Dongmei Li, Qingbo Meng",2024,0,"The synthesis of solar methanol through direct CO2 hydrogenation using solar energy is of great importance in advancing a sustainable energy economy. In this study, non-precious NiZn intermetallic/ZnO catalyst is reported to catalyze the hydrogenation of CO2 to methanol using sunlight irradiation (1sun). The NiZn-ZnO interface is identified as the active site to stabilize the key intermediates of HxCO*. At ambient pressure, the NiZn-ZnO catalyst demonstrates a methanol production rate of 127.5 umol g-1h-1 from solar driven CO2 hydrogenation, with a remarkable 100% selectivity towards methanol in the total organic products. Notably, this production rate stands as the highest record for photothermic CO2 hydrogenation to methanol in continuous-flow reactors with sunlight as the only requisite energy input. This discovery not only paves the way for the development of novel catalysts for CO2 hydrogenation to methanol but also marks a significant stride towards a full solar-driven chemical energy storage.","['mo', 'co', 'ni', 'zn', 'ir']",100.0,,,200.0
arXiv,Selective Oxidation of Ammonia on RuO2(110): a combined DFT and KMC study,"Sampyo Hong, Altaf Karim, Talat S. Rahman, Karl Jacobi, Gerhard Ertl",2010,0,"We have used a combination of density functional theory (DFT) and kinetic Monte Carlo (KMC) simulations to calculate the reaction rates for the selective oxidation of ammonia on RuO2(110). We find that the overall energy barrier for NH3 + O -> NH + H2O is 0.56 eV, while that for N + N -> N2, and N + O -> NO to be 0.27, and 0.14 eV, respectively. Our KMC calculations enable us to examine the kinetics not only of these mainline processes but also of additional 15 reactions among several intermediate species that illuminate the reactivity and selectivity of the former. In agreement with previous studies, we find that the key role in high reactivity of RuO2(110) in ammonia decomposition is played by the way in which, by promoting easier H abstraction, H bonding between ammonia and its intermediates with the adsorbate and substrate O converts NH decomposition into a non-activated (spontaneous) process. Further, our findings confirm in detail what experiment and previous studies have suggested about NO and N2 formation rates, namely, that NO desorption is a rate-limiting process in that surface NO blocks reaction sites at lower temperatures. Our calculations concerning selectivity (93% in favor of NO over N2) are in very close agreement with experiment (95%). They also explain why NO formation is so favored over N2 formation even at low O2 pressure. The significantly reduced N diffusion caused by various intermediates present on the RuO2(110) surface severely inhibits the recombination site for N+N -> N2, but interferes with that for N + O -> NO far less owing to the nearby availability of O from dissociation of O2.","['ru', 'fe', 'mo', 'co', 'ni', 'pt', 'cu', 'ir']",93.0,,,186.0
arXiv,Artificial Intelligence-Enabled Holistic Design of Catalysts Tailored for Semiconducting Carbon Nanotube Growth,"Liu Qian, Yue Li, Ying Xie, Jian Zhang, Pai Li, Yue Yu, Zhe Liu, Feng Ding, Jin Zhang",2025,0,"Catalyst design is crucial for materials synthesis, especially for complex reaction networks. Strategies like collaborative catalytic systems and multifunctional catalysts are effective but face challenges at the nanoscale. Carbon nanotube synthesis contains complicated nanoscale catalytic reactions, thus achieving high-density, high-quality semiconducting CNTs demands innovative catalyst design. In this work, we present a holistic framework integrating machine learning into traditional catalyst design for semiconducting CNT synthesis. It combines knowledge-based insights with data-driven techniques. Three key components, including open-access electronic structure databases for precise physicochemical descriptors, pre-trained natural language processing-based embedding model for higher-level abstractions, and physical - driven predictive models based on experiment data, are utilized. Through this framework, a new method for selective semiconducting CNT synthesis via catalyst - mediated electron injection, tuned by light during growth, is proposed. 54 candidate catalysts are screened, and three with high potential are identified. High-throughput experiments validate the predictions, with semiconducting selectivity exceeding 91% and the FeTiO3 catalyst reaching 98.6%. This approach not only addresses semiconducting CNT synthesis but also offers a generalizable methodology for global catalyst design and nanomaterials synthesis, advancing materials science in precise control.","['ru', 'fe', 'mo', 'co', 'ni', 'pt']",91.0,,,182.0
arXiv,Efficient Electrocatalytic Reduction of CO2 by Nitrogen-Doped Nanoporous Carbon-Carbon Nanotube Membranes - A Step Towards the Electrochemical CO2 Refinery,"Hong Wang, Jia Jia, Pengfei Song, Qiang Wang, Debao Li, Shixiong Min, Chenxi Qian, Lu Wang, Young Feng Li, Chun Ma, Tom Wu, Jiayin Yuan, Markus Antonietti, Geoffrey A. Ozin",2019,0,"The search for earth abundant, efficient and stable electrocatalysts that can enable the chemical reduction of CO2 to value-added chemicals and fuels at an industrially relevant scale, is a high priority for the development of a global network of renewable energy conversion and storage systems that can meaningfully impact greenhouse gas induced climate change. Here we introduce a straightforward, low cost, scalable and technologically relevant method to manufacture an all-carbon, electroactive, nitrogen-doped nanoporous carbon-carbon nanotube composite membrane, dubbed ""HNCM-CNT"". The membrane is demonstrated to function as a binder-free, high-performance electrode for the electrocatalytic reduction of CO2 to formate. The Faradaic efficiency for the production of formate is 81%. Furthermore, the robust structural and electrochemical properties of the membrane endow it with excellent long-term stability.","['ru', 'mo', 'co', 'ni']",81.0,,,162.0
arXiv,"Processing of hydroxylamine, NH2OH, an important prebiotic precursor, on interstellar ices","Gerán Molpeceres, Víctor. M. Rivilla, Kenji Furuya, Johannes Kästner, Belén Maté, Yuri Aikawa",2023,0,"Hydroxylamine, NH2OH, is one of the already detected interstellar molecules with the highest prebiotic potential. Yet, the abundance of this molecule found by astronomical observations is rather low for a relatively simple molecule, $\sim$ 10$^{-10}$ relative to H2. This seemingly low abundance can be rationalized by destruction routes operating on interstellar dust grains. In this work, we tested the viability of this hypothesis under several prisms, finding that the origin of a lower abundance of \ce{NH2OH} can be explained by two chemical processes, one operating at low temperature (10 K) and the other at intermediate temperature (20 K). At low temperatures, enabling the hydrogen abstraction reaction HNO + H -> NO + H2, even in small amounts, partially inhibits the formation of NH2OH through successive hydrogenation of NO, and reduces its abundance on the grains. We found that enabling a 15--30 % of binding sites for this reaction results in reductions of \ce{NH2OH} abundance of $\sim$ 1-2 orders of magnitude. At warmer temperatures (20 K, in our study), the reaction NH2OH + H -> HNOH + H2, which was found to be fast (k$\sim$10$^{6}$ s$^{-1}$) in this work, followed by further abstractions by adsorbates that are immobile at 10 K (O, N) are the main route of \ce{NH2OH} destruction. Our results shed light on the abundance of hydroxylamine in space and pave the way to constraining the subsequent chemistry experienced by this molecule and its derivatives in the interstellar prebiotic chemistry canvas.","['ru', 'mo', 'co', 'ni', 'cu']",30.0,,,60.0
arXiv,Choosing to Be Green: Advancing Green AI via Dynamic Model Selection,"Emilio Cruciani, Roberto Verdecchia",2025,0,"Artificial Intelligence is increasingly pervasive across domains, with ever more complex models delivering impressive predictive performance. This fast technological advancement however comes at a concerning environmental cost, with state-of-the-art models - particularly deep neural networks and large language models - requiring substantial computational resources and energy. In this work, we present the intuition of Green AI dynamic model selection, an approach based on dynamic model selection that aims at reducing the environmental footprint of AI by selecting the most sustainable model while minimizing potential accuracy loss. Specifically, our approach takes into account the inference task, the environmental sustainability of available models, and accuracy requirements to dynamically choose the most suitable model. Our approach presents two different methods, namely Green AI dynamic model cascading and Green AI dynamic model routing. We demonstrate the effectiveness of our approach via a proof of concept empirical example based on a real-world dataset. Our results show that Green AI dynamic model selection can achieve substantial energy savings (up to ~25%) while substantially retaining the accuracy of the most energy greedy solution (up to ~95%). As conclusion, our preliminary findings highlight the potential that hybrid, adaptive model selection strategies withhold to mitigate the energy demands of modern AI systems without significantly compromising accuracy requirements.","['fe', 'mo', 'co', 'ni', 'pt', 'cu', 'ir']",25.0,,,50.0
arXiv,Synth-by-Reg (SbR): Contrastive learning for synthesis-based registration of paired images,"Adrià Casamitjana, Matteo Mancini, Juan Eugenio Iglesias",2021,0,"Nonlinear inter-modality registration is often challenging due to the lack of objective functions that are good proxies for alignment. Here we propose a synthesis-by-registration method to convert this problem into an easier intra-modality task. We introduce a registration loss for weakly supervised image translation between domains that does not require perfectly aligned training data. This loss capitalises on a registration U-Net with frozen weights, to drive a synthesis CNN towards the desired translation. We complement this loss with a structure preserving constraint based on contrastive learning, which prevents blurring and content shifts due to overfitting. We apply this method to the registration of histological sections to MRI slices, a key step in 3D histology reconstruction. Results on two different public datasets show improvements over registration based on mutual information (13% reduction in landmark error) and synthesis-based algorithms such as CycleGAN (11% reduction), and are comparable to a registration CNN with label supervision. Code and data are publicly available at \url{https://github.com/acasamitjana/SynthByReg}","['ru', 'fe', 'mo', 'co', 'ni', 'ir']",13.0,,,26.0
arXiv,Green pathway of Urea Synthesis through Plasma-Ice Interaction Optimization and Mechanistic Insights with N2 + CO2 and NH3 + CO2 Gas Mixtures,"Vikas Rathore, Vyom Desai, Nirav I. Jamnapara, Sudhir Kumar Nema",2024,0,"This study explores a green pathway for urea synthesis using plasma-ice interaction with gas mixtures of N2 + CO2 and NH3 + CO2. Electrical and optical emission spectroscopy were employed to characterize the plasmas, revealing that urea formation involves complex reactions driven by high-energy species, producing reactive nitrogen and carbon intermediates that further react to form urea. Physicochemical analyses of plasma-treated ice showed increased pH, electrical conductivity (EC), and reduced oxidation-reduction potential (ORP). Optimization of plasma process parameters (gas pressure, applied voltage, and treatment time) was performed to enhance urea formation. Among these parameters, plasma treatment time had the most substantial influence. Increasing treatment time from 20 to 60 minutes significantly impacted physicochemical properties: for N2 + CO2 plasma, pH increased by 21.05%, EC by 184.7%, and ORP decreased by 27.48%; for NH3 + CO2 plasma, pH increased by 27.37%, EC by 239.05%, and ORP decreased by 72.67%, respectively. The study shows that NH3 + CO2 plasma produces a significantly higher concentration of urea (7.7 mg L-1) compared to N2 + CO2 plasma (0.55 mg L-1). This is attributed to the direct availability and reactivity of ammonia, which simplifies reaction pathways and enhances intermediate formation. These findings highlight the potential of plasma-ice interaction as an energy-efficient and environmentally friendly method for urea synthesis, offering a sustainable alternative to conventional processes.","['fe', 'mo', 'co', 'ni', 'pt', 'ir']",5.0,,,10.0
arXiv,Tuning the intermediate reaction barriers by CuPd catalyst to improve the selectivity of electroreduction CO2 to C2 products,"Li Zhu, Yiyang Lin, Kang Liu, Emiliano Cortés, Hongmei Li, Junhua Hu, Akira Yamaguchi, Ying-Rui Lu, Ting-Shan Chan, Xiaoliang Liu, Masahiro Miyauchi, Junwei Fu, Min Liu",2021,0,"Electrochemical CO2 reduction is a promising strategy for utilization of CO2 and intermittent excess electricity. Cu is the only single-metal catalyst that can electrochemically convert CO2 to multi-carbon products. However, Cu has an undesirable selectivity and activity for C2 products, due to its insufficient amount of CO* for C-C coupling. Considering the strong CO2 adsorption and ultra-fast reaction kinetics of CO* formation on Pd, an intimate CuPd(100) interface was designed to lower the intermediate reaction barriers and then improve the efficiency of C2 products. Density functional theory (DFT) calculations showed that the CuPd(100) interface has enhanced CO2 adsorption and decreased CO2* hydrogenation energy barrier, which are beneficial for C-C coupling. The potential-determining step (PDS) barrier of CO2 to C2 products on CuPd(100) interface is 0.61 eV, which is lower than that on Cu(100) (0.72 eV). Motivated by the DFT calculation, the CuPd(100) interface catalyst was prepared by a facile chemical solution method and demonstrated by transmission electron microscope (TEM). The CO2 temperature programmed desorption (CO2-TPD) and gas sensor experiments proved the enhancements of CO2 adsorption and CO2* hydrogenation abilities on CuPd(100) interface catalyst. As a result, the obtained CuPd(100) interface catalyst exhibits a C2 Faradaic efficiency of 50.3 (+/-) 1.2% at -1.4 VRHE in 0.1 M KHCO3, which is 2.1 times higher than 23.6(+/-) 1.5% of Cu catalyst. This work provides a rational design of Cu-based electrocatalyst for multi-carbon products by fine-tuning the intermediate reaction barriers.","['mo', 'co', 'ni', 'pt', 'pd', 'cu', 'ir', 'rh']",2.0,,,4.0
