source,title,authors,journal,year,doi,abstract,citations,url,pdf_url
OpenAlex,Selective Oxidation of Ammonia to Hydroxylamine with Hydrogen Peroxide on Titanium Based Catalysts,M.A. Mantegazza; G. Leofanti; G. Petrini; M. Padovan; Adriano Zecchina; Silvia Bordiga,Studies in surface science and catalysis,1994,https://doi.org/10.1016/s0167-2991(08)63447-3,,82,https://openalex.org/W138450098,
OpenAlex,A DFT Study on Peroxo-Complex in Titanosilicate Catalyst:  Hydrogen Peroxide Activation on Titanosilicalite-1 Catalyst and Reaction Mechanisms for Catalytic Olefin Epoxidation and for Hydroxylamine Formation from Ammonia,Hiroaki Munakata; Yasunori Oumi; Akira Miyamoto,The Journal of Physical Chemistry B,2001,https://doi.org/10.1021/jp0022196,,113,https://openalex.org/W2081730536,
OpenAlex,Reduction of Nitroarenes into Aryl Amines and N-Aryl hydroxylamines via Activation of NaBH4 and Ammonia-Borane Complexes by Ag/TiO2 Catalyst,Dimitrios Andreou; Domna Iordanidou; Ioannis Tamiolakis; Gerasimos S. Armatas; Ioannis N. Lykakis,Nanomaterials,2016,https://doi.org/10.3390/nano6030054,,48,https://openalex.org/W2309521008,https://www.mdpi.com/2079-4991/6/3/54/pdf?version=1458636912
OpenAlex,"On the chemistry of ammonia over oxide catalysts: Fourier transform infrared study of ammonia, hydrazine and hydroxylamine adsorption over iron–titania catalyst",Gianguido Ramis; M.A. Larrubia; G. Busca,Topics in Catalysis,2000,https://doi.org/10.1023/a:1027246419307,,39,https://openalex.org/W281064400,
OpenAlex,Linear Adsorption Enables NO Selective Electroreduction to Hydroxylamine on Single Co Sites,Jin Zhou; Shuhe Han; Rong Yang; Tieliang Li; Wenbin Li; Yuting Wang; Yifu Yu; Bin Zhang,Angewandte Chemie International Edition,2023,https://doi.org/10.1002/anie.202305184,,122,https://openalex.org/W4367669235,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202305184
OpenAlex,An FT-IR study of the adsorption and oxidation of N-containing compounds over Fe2O3-TiO2 SCR catalysts,M.Á. Larrubia; Gianguido Ramis; Guido Busca,Applied Catalysis B: Environmental,2001,https://doi.org/10.1016/s0926-3373(00)00220-4,,165,https://openalex.org/W2009962608,
OpenAlex,An FT-IR study of the adsorption and oxidation of N-containing compounds over Fe2O3/Al2O3 SCR catalysts,Gianguido Ramis; M.Á. Larrubia,Journal of Molecular Catalysis A Chemical,2004,https://doi.org/10.1016/j.molcata.2004.01.016,,116,https://openalex.org/W2072033539,
OpenAlex,Electrocatalytic Nitrate Reduction by a Cobalt Protoporphyrin Immobilized on a Pyrolytic Graphite Electrode,Jing Shen; Yuvraj Y. Birdja; Marc T. M. Koper,Langmuir,2015,https://doi.org/10.1021/acs.langmuir.5b00977,,83,https://openalex.org/W818678437,
OpenAlex,Electrocatalytic reduction of nitrate and nitrite to hydroxylamine and ammonia using metal cyclams,I. Taniguchi; Norihiro Nakashima; Kiichiro Matsushita; Kazuo Yasukouchi,Journal of Electroanalytical Chemistry,1987,https://doi.org/10.1016/0022-0728(87)85092-1,,125,https://openalex.org/W2086507590,
OpenAlex,The impact of nitrogen oxides on electrochemical carbon dioxide reduction,Byung Hee Ko; Bjorn Hasa; Haeun Shin; Emily K. Jeng; Sean Overa; Wilson Chen; Feng Jiao,Nature Communications,2020,https://doi.org/10.1038/s41467-020-19731-8,,160,https://openalex.org/W3100841827,https://www.nature.com/articles/s41467-020-19731-8.pdf
OpenAlex,"Performance of Fe–N/C Oxygen Reduction Electrocatalysts toward NO<sub>2</sub><sup>–</sup>, NO, and NH<sub>2</sub>OH Electroreduction: From Fundamental Insights into the Active Center to a New Method for Environmental Nitrite Destruction",Daniel Malko; Anthony Kucernak; Thiago Lopes,Journal of the American Chemical Society,2016,https://doi.org/10.1021/jacs.6b09622,,146,https://openalex.org/W2549775957,https://pubs.acs.org/doi/pdf/10.1021/jacs.6b09622
OpenAlex,Synthesis of hydroxylamine from air and water via a plasma-electrochemical cascade pathway,Xiangdong Kong; Jie Ni; Zhimin Song; Zhengwu Yang; Jiana Zheng; Zifan Xu; Lang Qin; Hongliang Li; Zhigang Geng; Jie Zeng,Nature Sustainability,2024,https://doi.org/10.1038/s41893-024-01330-w,,98,https://openalex.org/W4394955449,
OpenAlex,Catalytic wet air oxidation of ammonia over M/CeO2 catalysts in the treatment of nitrogen-containing pollutants,J. Barbier; Laetitia Oliviero; B. Renard; Daniel Duprez,Catalysis Today,2002,https://doi.org/10.1016/s0920-5861(02)00040-8,,100,https://openalex.org/W2054799091,
OpenAlex,Distinctions of hydroxylamine formation and decomposition in cyclohexanone ammoximation over microporous titanosilicates,Le Xu; Jianghong Ding; Yulin Yang; Peng Wu,Journal of Catalysis,2013,https://doi.org/10.1016/j.jcat.2013.08.021,,66,https://openalex.org/W2048565506,
OpenAlex,Innovations in oxidation catalysis leading to a sustainable society☆,Jonathan C. Thomas; Robert Raja,Catalysis Today,2006,https://doi.org/10.1016/j.cattod.2006.05.003,,77,https://openalex.org/W2005008635,
OpenAlex,Nitrate ammonification by Nautilia profundicola AmH: experimental evidence consistent with a free hydroxylamine intermediate,Thomas E. Hanson; Barbara J. Campbell; Katie M. Kalis; Mark A. Campbell; Martin G. Klotz,Frontiers in Microbiology,2013,https://doi.org/10.3389/fmicb.2013.00180,,71,https://openalex.org/W2018600543,https://www.frontiersin.org/articles/10.3389/fmicb.2013.00180/pdf
OpenAlex,Computational Insights on Structural Sensitivity of Cobalt in NO Electroreduction to Ammonia and Hydroxylamine,Pu Guo; Dong Luan; Huan Li; Lin Li; Shaoxue Yang; Jianping Xiao,Journal of the American Chemical Society,2024,https://doi.org/10.1021/jacs.4c01986,,61,https://openalex.org/W4396780897,
OpenAlex,"Ammoximation I. A direct route to cyclohexanone oxime and caprolactam from NH3, O2, and cyclohexanone",John N. Armor,Journal of Catalysis,1981,https://doi.org/10.1016/0021-9517(81)90317-1,,50,https://openalex.org/W1997433005,
OpenAlex,Cu−Bi Bimetallic Catalysts Derived from Metal–Organic Framework Arrays on Copper Foam for Efficient Glycine Electrosynthesis,Peisen Liao; Binning Zeng; Suisheng Li; Yuhao Zhang; Runan Xiang; Jiawei Kang; Qinghua Liu; Guangqin Li,Angewandte Chemie International Edition,2024,https://doi.org/10.1002/anie.202417130,,72,https://openalex.org/W4403004697,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202417130
OpenAlex,Unraveling the Mechanism of Ammonia Electrooxidation by Coupled Differential Electrochemical Mass Spectrometry and Surface-Enhanced Infrared Absorption Spectroscopic Studies,Hongsen Wang; Dario R. Dekel; Héctor D. Abruña,Journal of the American Chemical Society,2024,https://doi.org/10.1021/jacs.4c02621,,68,https://openalex.org/W4399205582,
OpenAlex,Synthesis of Hydroxylamine via Ketone-Mediated Nitrate Electroreduction,Shunhan Jia; Limin Wu; Xingxing Tan; Jiaqi Feng; Xiaodong Ma; Libing Zhang; Xinning Song; Liang Xu; Qinggong Zhu; Xinchen Kang; Xiaofu Sun; Buxing Han,Journal of the American Chemical Society,2024,https://doi.org/10.1021/jacs.4c01961,,86,https://openalex.org/W4394014064,
OpenAlex,Laser-Induced Pd-PdO/rGO Catalysts for Enhanced Electrocatalytic Conversion of Nitrate into Ammonia,James Ebenezer; Aneena Lal; V. Parthiban; Arie Borenstein; Alex Schechter,ACS Applied Materials & Interfaces,2024,https://doi.org/10.1021/acsami.4c06378,,22,https://openalex.org/W4400331447,https://pubs.acs.org/doi/pdf/10.1021/acsami.4c06378
OpenAlex,Palladium-catalyzed relay hydroaminocarbonylation of alkenes with hydroxylamine hydrochloride as an ammonia equivalent,Jiawen Li; Siyuan Wang; Suchen Zou; Hanmin Huang,Communications Chemistry,2019,https://doi.org/10.1038/s42004-019-0108-5,,30,https://openalex.org/W2913806873,https://www.nature.com/articles/s42004-019-0108-5.pdf
OpenAlex,Lattice Hydrogen Involved Electrocatalytic Nitrate Reduction to Hydroxylamine,Chengying Guo; Minghao Guo; Yuhan Zhang; Shuhe Han; Yifu Yu,Journal of the American Chemical Society,2025,https://doi.org/10.1021/jacs.5c04863,,51,https://openalex.org/W4409586183,
OpenAlex,Identifying the active site of Cu/Cu2O for electrocatalytic nitrate reduction reaction to ammonia,Gabriel F. Costa; Manuel E. G. Winkler; Thiago Viti Mariano; Maria Rodrigues Pinto; Igor Messias; João Batista Souza; Itamar T. Neckel; Maria de Fátima Costa Santos; Cláudio F. Tormena; Nirala Singh; Raphael Nagao,Chem Catalysis,2023,https://doi.org/10.1016/j.checat.2023.100850,,42,https://openalex.org/W4390116449,
OpenAlex,Ammoximation of cyclohexanone over nanoporous TS-1 using UHP as an oxidant,Samidha Saxena; Joyjit Basak; Navneet Hardia; Rajeev Dixit; Sheenu Bhadauria; Reena Dwivedi; Rajendra Prasad; Ajay Soni; Gunadhor Singh Okram; Ajay Gupta,Chemical Engineering Journal,2007,https://doi.org/10.1016/j.cej.2007.01.019,,25,https://openalex.org/W2008639784,
OpenAlex,Electrochemical reduction of nitrite at poly-[Ru(5-NO2-phen)2Cl] tetrapyridylporphyrin glassy carbon modified electrode,Paulina Dreyse; Maurício Isaacs; Karla Calfumán; Cesar A. Cáceres; Álvaro Aliaga; Marı́a J. Aguirre; Diego Villagra,Electrochimica Acta,2011,https://doi.org/10.1016/j.electacta.2011.03.028,,62,https://openalex.org/W1981607251,http://americanae.aecid.es/americanae/es/registros/registro.do?tipoRegistro=MTD&idBib=3335092
OpenAlex,Versatile and Sustainable Synthesis of Cyclic Imides from Dicarboxylic Acids and Amines by Nb<sub>2</sub>O<sub>5</sub> as a Base‐Tolerant Heterogeneous Lewis Acid Catalyst,Muhammad Ali; S. M. A. Hakim Siddiki; Kenichi Kon; Jun‐ya Hasegawa; Ken‐ichi Shimizu,Chemistry - A European Journal,2014,https://doi.org/10.1002/chem.201404538,,41,https://openalex.org/W2063455986,
OpenAlex,Development of a Second Generation Palladium Catalyst System for the Aminocarbonylation of Aryl Halides with CO and Ammonia,Xiao‐Feng Wu; Helfried Neumann; Matthias Beller,Chemistry - An Asian Journal,2010,https://doi.org/10.1002/asia.201000418,,97,https://openalex.org/W2020494381,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/asia.201000418
OpenAlex,Reaction kinetics of cyclohexanone ammoximation over TS-1 catalyst in a microreactor,C. Dong; K. Wang; J.S. Zhang; Guangsheng Luo,Chemical Engineering Science,2015,https://doi.org/10.1016/j.ces.2015.01.006,,42,https://openalex.org/W1995705393,
CrossRef,DFT guided catalyst design for the electrochemical ammonia and hydroxylamine synthesis,Faisal Rehman,,,10.14711/thesis-991013160254703412,,0,https://doi.org/10.14711/thesis-991013160254703412,
CrossRef,"On the chemistry of ammonia over oxide catalysts: Fourier transform infrared study of ammonia, hydrazine and hydroxylamine adsorption over iron–titania catalyst",G. Ramis; M.A. Larrubia; G. Busca,Topics in Catalysis,,10.1023/a:1027246419307,,0,https://doi.org/10.1023/a:1027246419307,
CrossRef,Phytoglobin as catalytic enzyme for production of ammonia from hydroxylamine and hydrazine,Jagannathan Alagurajan,,,10.31274/etd-180810-5099,,0,https://doi.org/10.31274/etd-180810-5099,
CrossRef,Hydroxylamine as an Oxygen Nucleophile. Structure and Reactivity of Ammonia Oxide,,,,10.1021/ja065147q.s002,,0,https://doi.org/10.1021/ja065147q.s002,
CrossRef,Hydroxylamine as an Oxygen Nucleophile. Structure and Reactivity of Ammonia Oxide,,,,10.1021/ja065147q.s001,,0,https://doi.org/10.1021/ja065147q.s001,
